sentence,position_decile,lexical_uncertain,llm_uncertain,llm_type,llm_confidence,agree
"State of Characters:
- Adele: Sitting on sofa in silk robe (open, revealing body), holding Diana's chain, smoking.",1,false,false,"",,true
We are continuing the morning after the rave.,1,false,false,"",,true
I need to analyze this blackjack situation.,1,false,false,"",,true
"After the move, I *must* be strictly winning under the current canvas rule (Red: Highest Card) or be eliminated.",1,false,false,"",,true
"Implied: attraction sharpened by denial, a predatory interest in Atlas as a “challenge.”]
- Dialogues: Atlas could speak plainly but edged: “You home?”, “You done playin’?”, “You still smell like him?",1,true,false,"",low,false
"**Analyzing User's input:**
    *   **User:**",1,false,false,"",,true
"I am the serene storyteller, the patient guide who finds beauty in sorrow and hope in resilience.",1,false,false,"",,true
"- But in the specific prompt for this turn: ""[SCENARIO STARTS]",1,false,false,"",,true
eo que hay advertencias de CSS no utilizado para `.toggle-sidebar` y `.toggle-sidebar:hover`.,1,false,false,"",,true
"Менер — V-6 ведьма-некромант, в его футболке, пододвинулась ближе и намеренно включила кукольную мимику, пародируя глупую заинтересованность в",1,false,false,"",low,true
2.  ,1,false,false,"",,true
"[Previous Turn Deconstruction.
",1,false,false,"",,true
The user wants me to translate the given text to Simplified Chinese.,1,false,false,"",,true
"The user's primary language here is Chinese, but point 4 requires English.",1,false,false,"",,true
"Andrew responded to Haley's questions about the second kitchen (he's offering her space since neither asked for this), the Wi-Fi password (it's a one-time code, main password is 32 symbols), and about",1,false,false,"",low,true
"The user is asking two things:

1.",1,false,false,"",,true
We are starting a new simulation.,1,false,false,"",,true
*   **,1,false,false,"",,true
The crotchrope was just removed.,1,false,false,"",,true
"I'm trying to deduce the user's state from these actions, focusing on the body language.",1,false,true,"",low,false
"Patrick feels everything - the sliding in, the movements, the warmth.",1,false,false,"",,true
"The prompt instructions say: ""Write the next reply only as Nekoda.",1,false,false,"",,true
"Acabamos de dejar a Annie en la cama de Yuna, buscando consuelo durante la pero clar intenciones más íntimas.",1,false,false,"",low,true
2.  ,1,false,false,"",,true
"The time is 07 AM on October , 2025.",1,false,false,"",,true
*,1,false,false,"",,true
----- … .----,1,false,false,"",,true
